GPU,Aug eBay Price,QTY Sold,Retail Price,July eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,679",383,"$1,649","$1,552",8.2%,0.0903
GeForce RTX 4080,"$1,194",242,"$1,090","$1,050",13.7%,0.1194
GeForce RTX 4070 Ti,$763,226,$770,$741,3.0%,0.1774
GeForce RTX 4070,$651,181,$530,$582,11.8%,0.1899
GeForce RTX 4060 Ti 16GB,$602,3,$430,—,—,0.1695
GeForce RTX 4060 Ti,$411,56,$370,$391,5.0%,0.2474
GeForce RTX 4060,$334,20,$290,$336,-0.7%,0.2544
GeForce RTX 3090 Ti,$935,74,"$1,540",$918,1.9%,0.1418
GeForce RTX 3090,$740,691,"$1,377",$751,-1.3%,0.1723
GeForce RTX 3080 Ti,$597,337,"$1,000",$640,-6.7%,0.211
GeForce RTX 3080 12GB,$480,71,$950,$536,-10.5%,0.2587
GeForce RTX 3080,$404,907,$829,$426,-5.3%,0.2949
GeForce RTX 3070 Ti,$347,340,$410,$362,-4.0%,0.3047
GeForce RTX 3070,$282,1385,$365,$282,-0.1%,0.3569
GeForce RTX 3060 Ti,$248,1025,$320,$247,0.3%,0.3728
GeForce RTX 3060,$219,704,$250,$231,-5.3%,0.3338
GeForce RTX 3050,$171,113,$216,$177,-3.3%,0.3032
Radeon RX 7900 XTX,$871,36,$889,$869,0.2%,0.1694
Radeon RX 7900 XT,$709,46,$720,$691,2.6%,0.1993
Radeon RX 7600,$233,4,$240,$255,-8.5%,0.3535
Radeon RX 6950 XT,$550,50,$610,$565,-2.7%,0.2472
Radeon RX 6900 XT,$513,134,$550,$495,3.7%,0.2571
Radeon RX 6800 XT,$417,204,$495,$425,-2.0%,0.3057
Radeon RX 6800,$355,112,$400,$363,-2.2%,0.3276
Radeon RX 6750 XT,$321,22,$350,$319,0.5%,0.325
Radeon RX 6700 XT,$257,534,$310,$271,-5.0%,0.3896
Radeon RX 6700 10GB,$227,6,$281,$219,3.4%,0.3805
Radeon RX 6650 XT,$216,24,$230,$203,6.6%,0.3706
Radeon RX 6600 XT,$169,422,$250,$173,-2.0%,0.461
Radeon RX 6600,$143,270,$200,$148,-3.6%,0.4712
Radeon RX 6500 XT,$85,71,$144,$86,-1.2%,0.3599
Radeon RX 6400,$116,95,$134,$108,7.7%,0.2081
Intel Arc A770 16GB,$302,31,$280,$340,-11.4%,0.2549
Intel Arc A770 8GB,$255,1,$240,$234,8.8%,0.2955
Intel Arc A750,$196,15,$190,$207,-5.5%,0.3612
Intel Arc A380,$114,5,$100,$145,-21.0%,0.2487
