GPU,Mar eBay Price,QTY Sold,Feb eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$385,319,$390,-1.1%,0.2545
GeForce RTX 2080 Super,$288,207,$291,-0.9%,0.3016
GeForce RTX 2080,$254,159,$253,0.2%,0.3293
GeForce RTX 2070 Super,$237,293,$246,-3.6%,0.3301
GeForce RTX 2070,$211,180,$218,-3.2%,0.3329
GeForce RTX 2060 Super,$205,168,$203,1.0%,0.3231
GeForce RTX 2060,$174,339,$178,-2.1%,0.3211
GeForce GTX 1660 Ti,$134,357,$141,-4.8%,0.335
GeForce GTX 1660 Super,$130,743,$132,-1.4%,0.3471
GeForce GTX 1660,$112,126,$108,3.5%,0.3588
GeForce GTX 1650 Super,$111,99,$113,-2.0%,0.3047
GeForce GTX 1650,$118,270,$118,-0.2%,0.2297
Radeon RX 5700 XT,$162,749,$164,-1.5%,0.453
Radeon RX 5700,$150,104,$148,1.4%,0.4289
Radeon RX 5600 XT,$125,202,$128,-1.9%,0.4614
Radeon RX 5500 XT 8GB,$97,82,$100,-3.3%,0.4097
Radeon RX 5500 XT 4GB,$90,22,$82,10.4%,0.3694
