GPU,eBay Price,QTY Sold,Month
Radeon RX 6900 XT,$697,160,July 2022
Radeon RX 6800 XT,$615,188,July 2022
Radeon RX 6800,$513,149,July 2022
Radeon RX 6750 XT,$505,3,July 2022
Radeon RX 6700 XT,$393,518,July 2022
Radeon RX 6650 XT,$359,33,July 2022
Radeon RX 6600 XT,$285,423,July 2022
Radeon RX 6600,$235,275,July 2022
Radeon RX 6500 XT,$162,44,July 2022
Radeon RX 6400,$157,7,July 2022
GeForce RTX 2080 Ti,$517,328,July 2022
GeForce RTX 2080 Super,$403,188,July 2022
GeForce RTX 2080,$347,203,July 2022
GeForce RTX 2070 Super,$322,402,July 2022
GeForce RTX 2070,$286,227,July 2022
GeForce RTX 2060 Super,$276,173,July 2022
GeForce RTX 2060,$227,522,July 2022
GeForce GTX 1660 Ti,$183,225,July 2022
GeForce GTX 1660 Super,$186,608,July 2022
GeForce GTX 1660,$173,133,July 2022
GeForce GTX 1650 Super,$151,111,July 2022
GeForce GTX 1650,$149,237,July 2022
Radeon RX 5700 XT,$276,856,July 2022
Radeon RX 5700,$257,164,July 2022
Radeon RX 5600 XT,$194,260,July 2022
Radeon RX 5500 XT 8GB,$160,31,July 2022
Radeon RX 5500 XT 4GB,$149,29,July 2022
GeForce RTX 4090,"$1,552",262,July 2023
GeForce RTX 4080,"$1,050",145,July 2023
GeForce RTX 4070 Ti,$741,127,July 2023
GeForce RTX 4070,$582,72,July 2023
GeForce RTX 4060 Ti,$391,12,July 2023
GeForce RTX 4060,$336,9,July 2023
GeForce RTX 3090 Ti,$918,122,July 2023
GeForce RTX 3090,$751,714,July 2023
GeForce RTX 3080 Ti,$640,390,July 2023
GeForce RTX 3080 12GB,$536,61,July 2023
GeForce RTX 3080,$426,1081,July 2023
GeForce RTX 3070 Ti,$362,376,July 2023
GeForce RTX 3070,$282,1470,July 2023
GeForce RTX 3060 Ti,$247,1072,July 2023
GeForce RTX 3060,$231,702,July 2023
GeForce RTX 3050,$177,92,July 2023
Radeon RX 7900 XTX,$869,44,July 2023
Radeon RX 7900 XT,$691,42,July 2023
Radeon RX 7600,$255,2,July 2023
Radeon RX 6950 XT,$565,50,July 2023
Radeon RX 6900 XT,$495,100,July 2023
Radeon RX 6800 XT,$425,220,July 2023
Radeon RX 6800,$363,121,July 2023
Radeon RX 6750 XT,$319,26,July 2023
Radeon RX 6700 XT,$271,506,July 2023
Radeon RX 6700 10GB,$219,20,July 2023
Radeon RX 6650 XT,$203,37,July 2023
Radeon RX 6600 XT,$173,409,July 2023
Radeon RX 6600,$148,246,July 2023
Radeon RX 6500 XT,$86,57,July 2023
Radeon RX 6400,$108,34,July 2023
Intel Arc A770 16GB,$340,30,July 2023
Intel Arc A770 8GB,$234,3,July 2023
Intel Arc A750,$207,12,July 2023
Intel Arc A380,$145,2,July 2023
GeForce RTX 2080 Ti,$343,175,July 2023
GeForce RTX 2080 Super,$238,163,July 2023
GeForce RTX 2080,$197,92,July 2023
GeForce RTX 2070 Super,$192,203,July 2023
GeForce RTX 2070,$168,124,July 2023
GeForce RTX 2060 Super,$166,154,July 2023
GeForce RTX 2060,$135,297,July 2023
GeForce GTX 1660 Ti,$105,213,July 2023
GeForce GTX 1660 Super,$103,616,July 2023
GeForce GTX 1660,$89,98,July 2023
GeForce GTX 1650 Super,$95,86,July 2023
GeForce GTX 1650 GDDR6,$96,108,July 2023
GeForce GTX 1650,$95,67,July 2023
GeForce GTX 1630,$43,2,July 2023
Radeon RX 5700 XT,$137,601,July 2023
Radeon RX 5700,$120,91,July 2023
Radeon RX 5600 XT,$107,81,July 2023
Radeon RX 5500 XT 8GB,$88,54,July 2023
Radeon RX 5500 XT 4GB,$68,18,July 2023
GeForce RTX 3090 Ti,"$1,538",107,June 2022
GeForce RTX 3090,"$1,098",885,June 2022
GeForce RTX 3080 Ti,$956,499,June 2022
GeForce RTX 3080 12GB,$835,40,June 2022
GeForce RTX 3080,$728,1134,June 2022
GeForce RTX 3070 Ti,$620,634,June 2022
GeForce RTX 3070,$518,1472,June 2022
GeForce RTX 3060 Ti,$461,1324,June 2022
GeForce RTX 3060,$379,646,June 2022
GeForce RTX 3050,$304,124,June 2022
Radeon RX 6950 XT,"$1,069",10,June 2022
Radeon RX 6900 XT,$767,176,June 2022
Radeon RX 6800 XT,$625,228,June 2022
Radeon RX 6800,$551,148,June 2022
Radeon RX 6750 XT,$513,5,June 2022
Radeon RX 6700 XT,$407,421,June 2022
Radeon RX 6650 XT,$368,43,June 2022
Radeon RX 6600 XT,$299,417,June 2022
Radeon RX 6600,$258,221,June 2022
Radeon RX 6500 XT,$171,52,June 2022
Radeon RX 6400,$153,3,June 2022
GeForce RTX 2080 Ti,$564,292,June 2022
GeForce RTX 2080 Super,$407,174,June 2022
GeForce RTX 2080,$348,157,June 2022
GeForce RTX 2070 Super,$342,305,June 2022
GeForce RTX 2070,$310,157,June 2022
GeForce RTX 2060 Super,$298,153,June 2022
GeForce RTX 2060,$241,328,June 2022
GeForce GTX 1660 Ti,$200,193,June 2022
GeForce GTX 1660 Super,$201,506,June 2022
GeForce GTX 1660,$174,76,June 2022
GeForce GTX 1650 Super,$171,82,June 2022
GeForce GTX 1650,$155,316,June 2022
Radeon RX 5700 XT,$314,725,June 2022
Radeon RX 5700,$286,133,June 2022
Radeon RX 5600 XT,$215,74,June 2022
Radeon RX 5500 XT 8GB,$174,31,June 2022
Radeon RX 5500 XT 4GB,$156,22,June 2022
GeForce RTX 4090,"$1,490",346,June 2023
GeForce RTX 4080,"$1,040",168,June 2023
GeForce RTX 4070 Ti,$738,205,June 2023
GeForce RTX 4070,$591,120,June 2023
GeForce RTX 4060 Ti,$466,10,June 2023
GeForce RTX 4060,—,0,June 2023
GeForce RTX 3090 Ti,$952,121,June 2023
GeForce RTX 3090,$738,870,June 2023
GeForce RTX 3080 Ti,$617,505,June 2023
GeForce RTX 3080 12GB,$540,68,June 2023
GeForce RTX 3080,$432,1127,June 2023
GeForce RTX 3070 Ti,$374,566,June 2023
GeForce RTX 3070,$286,1659,June 2023
GeForce RTX 3060 Ti,$257,1067,June 2023
GeForce RTX 3060,$238,802,June 2023
GeForce RTX 3050,$190,98,June 2023
Radeon RX 7900 XTX,$875,40,June 2023
Radeon RX 7900 XT,$718,52,June 2023
Radeon RX 7600,$294,4,June 2023
Radeon RX 6950 XT,$588,77,June 2023
Radeon RX 6900 XT,$532,140,June 2023
Radeon RX 6800 XT,$433,252,June 2023
Radeon RX 6800,$360,172,June 2023
Radeon RX 6750 XT,$324,29,June 2023
Radeon RX 6700 XT,$270,517,June 2023
Radeon RX 6700 10GB,$214,3,June 2023
Radeon RX 6650 XT,$204,39,June 2023
Radeon RX 6600 XT,$177,306,June 2023
Radeon RX 6600,$150,286,June 2023
Radeon RX 6500 XT,$97,31,June 2023
Radeon RX 6400,$108,50,June 2023
Intel Arc A770 16GB,$329,21,June 2023
Intel Arc A770 8GB,$250,1,June 2023
Intel Arc A750,$202,18,June 2023
Intel Arc A380,$97,3,June 2023
GeForce RTX 2080 Ti,$370,222,June 2023
GeForce RTX 2080 Super,$233,183,June 2023
GeForce RTX 2080,$210,123,June 2023
GeForce RTX 2070 Super,$204,235,June 2023
GeForce RTX 2070,$173,135,June 2023
GeForce RTX 2060 Super,$177,108,June 2023
GeForce RTX 2060,$148,474,June 2023
GeForce GTX 1660 Ti,$115,163,June 2023
GeForce GTX 1660 Super,$107,688,June 2023
GeForce GTX 1660,$87,88,June 2023
GeForce GTX 1650 Super,$102,58,June 2023
GeForce GTX 1650,$99,204,June 2023
Radeon RX 5700 XT,$132,743,June 2023
Radeon RX 5700,$120,92,June 2023
Radeon RX 5600 XT,$102,89,June 2023
Radeon RX 5500 XT 8GB,$99,32,June 2023
Radeon RX 5500 XT 4GB,$60,11,June 2023
GeForce RTX 3090 Ti,"$2,724",11,March 2022
GeForce RTX 3090,"$2,111",983,March 2022
