GPU,Apr eBay Price,QTY Sold,Mar eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$379,289,$385,-1.6%,0.2586
GeForce RTX 2080 Super,$265,207,$288,-7.8%,0.3272
GeForce RTX 2080,$230,194,$254,-9.2%,0.3628
GeForce RTX 2070 Super,$229,323,$237,-3.5%,0.3421
GeForce RTX 2070,$201,147,$211,-4.7%,0.3495
GeForce RTX 2060 Super,$201,143,$205,-1.8%,0.329
GeForce RTX 2060,$168,255,$174,-3.7%,0.3334
GeForce GTX 1660 Ti,$135,235,$134,0.3%,0.334
GeForce GTX 1660 Super,$125,743,$130,-4.4%,0.3632
GeForce GTX 1660,$109,119,$112,-3.0%,0.3698
GeForce GTX 1650 Super,$103,104,$111,-7.1%,0.3279
GeForce GTX 1650,$112,209,$118,-4.4%,0.2403
Radeon RX 5700 XT,$156,733,$162,-3.6%,0.4699
Radeon RX 5700,$139,110,$150,-7.8%,0.4653
Radeon RX 5600 XT,$122,131,$125,-2.9%,0.4753
Radeon RX 5500 XT 8GB,$101,45,$97,4.2%,0.3933
Radeon RX 5500 XT 4GB,$83,18,$90,-8.5%,0.4036
