GPU,July eBay Price,QTY Sold,Retail Price,June eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,552",262,"$1,649","$1,490",4.2%,0.0977
GeForce RTX 4080,"$1,050",145,"$1,090","$1,040",0.9%,0.1358
GeForce RTX 4070 Ti,$741,127,$770,$738,0.3%,0.1827
GeForce RTX 4070,$582,72,$530,$591,-1.6%,0.2123
GeForce RTX 4060 Ti,$391,12,$370,$466,-16.0%,0.2598
GeForce RTX 4060,$336,9,$290,—,—,0.2527
GeForce RTX 3090 Ti,$918,122,"$1,540",$952,-3.6%,0.1446
GeForce RTX 3090,$751,714,"$1,377",$738,1.8%,0.17
GeForce RTX 3080 Ti,$640,390,"$1,000",$617,3.7%,0.1968
GeForce RTX 3080 12GB,$536,61,$950,$540,-0.8%,0.2316
GeForce RTX 3080,$426,1081,$829,$432,-1.5%,0.2794
GeForce RTX 3070 Ti,$362,376,$410,$374,-3.4%,0.2926
GeForce RTX 3070,$282,1470,$365,$286,-1.4%,0.3565
GeForce RTX 3060 Ti,$247,1072,$320,$257,-4.0%,0.3738
GeForce RTX 3060,$231,702,$250,$238,-3.1%,0.316
GeForce RTX 3050,$177,92,$216,$190,-6.9%,0.2931
Radeon RX 7900 XTX,$869,44,$889,$875,-0.7%,0.1697
Radeon RX 7900 XT,$691,42,$720,$718,-3.7%,0.2044
Radeon RX 7600,$255,2,$240,$294,-13.4%,0.3235
Radeon RX 6950 XT,$565,50,$610,$588,-4.0%,0.2406
Radeon RX 6900 XT,$495,100,$550,$532,-7.0%,0.2666
Radeon RX 6800 XT,$425,220,$495,$433,-1.9%,0.2995
Radeon RX 6800,$363,121,$400,$360,0.8%,0.3203
Radeon RX 6750 XT,$319,26,$350,$324,-1.5%,0.3266
Radeon RX 6700 XT,$271,506,$310,$270,0.2%,0.3702
Radeon RX 6700 10GB,$219,20,$281,$214,2.5%,0.3933
Radeon RX 6650 XT,$203,37,$230,$204,-0.6%,0.3949
Radeon RX 6600 XT,$173,409,$250,$177,-2.2%,0.4517
Radeon RX 6600,$148,246,$200,$150,-1.1%,0.4545
Radeon RX 6500 XT,$86,57,$144,$97,-11.3%,0.3555
Radeon RX 6400,$108,34,$134,$108,-0.6%,0.2242
Intel Arc A770 16GB,$340,30,$280,$329,3.3%,0.2259
Intel Arc A770 8GB,$234,3,$240,$250,-6.3%,0.3215
Intel Arc A750,$207,12,$190,$202,2.5%,0.3413
Intel Arc A380,$145,2,$100,$97,49.4%,0.1965
