GPU,September eBay Price,QTY Sold,Retail Price,Aug eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$1,603",220,"$1,649","$1,679",-4.5%,0.0946
GeForce RTX 4080,"$1,042",133,"$1,090","$1,194",-12.7%,0.1368
GeForce RTX 4070 Ti,$781,238,$770,$763,2.3%,0.1733
GeForce RTX 4070,$553,120,$530,$651,-15.0%,0.2234
GeForce RTX 4060 Ti 16GB,$511,7,$430,$602,-15.1%,0.1997
GeForce RTX 4060 Ti,$374,26,$370,$411,-9.0%,0.2719
GeForce RTX 4060,$313,27,$290,$334,-6.1%,0.2711
GeForce RTX 3090 Ti,$926,76,"$1,540",$935,-1.0%,0.1432
GeForce RTX 3090,$730,577,"$1,377",$740,-1.5%,0.1749
GeForce RTX 3080 Ti,$606,295,"$1,000",$597,1.5%,0.2079
GeForce RTX 3080 12GB,$502,53,$950,$480,4.5%,0.2476
GeForce RTX 3080,$414,842,$829,$404,2.5%,0.2878
GeForce RTX 3070 Ti,$356,370,$410,$347,2.6%,0.2971
GeForce RTX 3070,$288,926,$365,$282,2.4%,0.3487
GeForce RTX 3060 Ti,$244,1064,$320,$248,-1.6%,0.3788
GeForce RTX 3060,$220,590,$250,$219,0.7%,0.3315
GeForce RTX 3050,$183,135,$216,$171,6.9%,0.2837
Radeon RX 7900 XTX,$824,34,$889,$871,-5.4%,0.179
Radeon RX 7900 XT,$657,20,$720,$709,-7.3%,0.2149
Radeon RX 7800 XT,$525,7,$500,—,—,0.2423
Radeon RX 7700 XT,$480,2,$430,—,—,0.2369
Radeon RX 7600,$232,7,$240,$233,-0.3%,0.3547
Radeon RX 6950 XT,$590,40,$610,$550,7.4%,0.2301
Radeon RX 6900 XT,$526,90,$550,$513,2.4%,0.2511
Radeon RX 6800 XT,$416,191,$495,$417,-0.2%,0.3063
Radeon RX 6800,$348,139,$400,$355,-2.1%,0.3346
Radeon RX 6750 XT,$309,36,$350,$321,-3.6%,0.3373
Radeon RX 6700 XT,$258,552,$310,$257,0.0%,0.3895
Radeon RX 6700 10GB,$229,17,$281,$227,0.9%,0.3773
Radeon RX 6650 XT,$191,29,$230,$216,-11.4%,0.4184
Radeon RX 6600 XT,$168,364,$250,$169,-1.2%,0.4664
Radeon RX 6600,$144,226,$200,$143,1.1%,0.4661
Radeon RX 6500 XT,$89,37,$144,$85,4.1%,0.3458
Radeon RX 6400,$121,62,$134,$116,4.6%,0.199
Intel Arc A770 16GB,$309,25,$280,$302,2.4%,0.2488
Intel Arc A770 8GB,$208,3,$240,$255,-18.6%,0.3631
Intel Arc A750,$191,15,$190,$196,-2.3%,0.3698
Intel Arc A380,$115,8,$100,$114,0.5%,0.2475
